abdicate	'æbdɪket	'æbdɪkeɪt	v::退位；放弃::to give up the position of being king or queen		King Alfonso XIII abdicated in favour of his eldest son.::国王阿方索十三世把王位让给了长子。¦The king was forced to abdicate the throne .::国王被迫退位。	vi::退位；放弃::fall out of, render up¦vt::退位；放弃::yield, desert, quit	adj::abdicable:: 可辞职的；可放弃的¦n::abdication:: 辞职；退位¦n::abdicator:: 让位者；放弃者	assume	 ab(离去) + dic(说话， 命令) + ate(做) → 被命令离去 → 放弃			
intelligence	ɪn'tɛlɪdʒəns	ɪn'telɪdʒəns	n:: 智力； 情报::the ability to learn, understand, and think about things	artificial intelligence::人工智能¦competitive intelligence::竞争情报¦business intelligence::商业智能¦emotional intelligence::情绪智力；情商；情绪智商¦intelligence quotient::智商（缩写为IQ）¦intelligence quotient (IQ)::智商¦intelligence quotient (iq)::智商¦high intelligence::高智商，高智力；高智能¦market intelligence::市场情报；市场信息；巿场资讯¦intelligence agency::情报局；情报单位¦intelligence service::情报部门；情报工作；智能型服务¦intelligence development::智力发展；智力开发¦intelligence test::智力测验¦intelligence community::情报界；情报共同体¦military intelligence::军事情报¦central intelligence agency::美国中央情报局（CIA）¦intelligence official::情报官员¦intelligence officer::情报人员；消防情报员¦general intelligence::一般智力；普通智力¦intelligence gathering::情报收集；情报搜集	To be good at the game, you need a reasonable level of intelligence.::要想把这种游戏玩好，需要一定的智力水平。	n::[心理]智力；情报工作；[图情]情报机关；理解力::brain, mind, mentality, understanding, head	adj::intellectual:: 智力的；聪明的；理智的¦adj::intelligent:: 智能的；聪明的；理解力强的¦adj::intelligible:: 可理解的；明了的；仅能用智力了解的¦adv::intellectually:: 智力上；理智地；知性上¦adv::intelligently:: 聪明地，明智地¦adv::intelligibly:: 易理解地¦n::intellectual:: 知识分子；凭理智做事者¦n::intellect:: 智力，理解力；知识分子；思维逻辑领悟力；智力高的人		来自intelligent(a. 智能的； 聪明的)			
mutation	mju'teʃən	mjuː'teɪʃn	n:: 突变， 变异::a change in the  genetic  structure of an animal or plant that makes it different from others of the same kind	gene mutation::基因突变¦mutation breeding::诱变育种¦mutation rate::突变率；变异概率；突变速率¦point mutation::点突变¦genetic mutation::基因突变¦induced mutation::诱发突变¦mutation frequency::突变频率¦mutation theory::突变理论；突变学说¦missense mutation::[遗传学]错义突变¦bud mutation::芽变，芽条变异	The more people who have the virus, the more virus particles there are for that one, fatal mutation to appear in.::因为如果有越多人感染到病毒，就有越多病毒颗粒可以酝酿出一种致命的突变病毒品种。¦Analyzes the factors that influence the stretching changing in the hoisting process and put forward a method that adopting S-curve could reduce the stretching mutation.::分析了提升过程中钢丝绳张力变化的影响因素，提出了采用S曲线速度图是可以减小张力突变的一种方法。¦For example, it is hard to say whether an ART baby has died because of the ART technology or because one of its parents had a mutation that mutually contributed to subpar fertility and infant death.::例如，很难说是否一个ART的宝宝会因为ART技术而死亡，或者他父母中的其中一个出现突变，这对于在平均水平以下的受精和婴儿的死亡是互相贡献的。	n::[遗]突变；变化；元音变化::variation, shift, diversification, turn	adj::mutant:: 突变的¦adj::mutagenic:: 诱变的；致突变的¦adj::mutational:: 突变的¦adj::mutative:: 变化的；生物突变的¦n::mutant:: 突变体；突变异种¦n::mutability:: 易变性；性情不定；突变性¦n::mutagen:: 诱导有机体突变的物质¦n::mutagenesis:: 突变形成；变异发生¦vi::mutate:: 变化，产生突变¦vt::mutate:: 改变，使突变		 mut(变) + ation → 突变， 变异			
fallow	'fælo	'fælou	adj:: 休耕的::fallow land is dug or  ploughed  but is not used for growing crops	lie fallow::休闲；潜伏¦summer fallow::夏季休耕；夏季休闲	They let the land lie fallow for a year.::他们让土地休耕一年。	adj::[农]休耕的；不活跃的::inactive, sleepy¦vt::使（土地）[农学]休闲；潜伏::lie low, to conceal			 休耕(fallow)的时候和伙伴(fellow)一起玩			
install	ɪn'stɔl	ɪn'stɔːl	v:: 安装， 安置::to put a piece of equipment somewhere and connect it so that it is ready to be used		They’ve installed the new computer network at last.::他们终于安装了新电脑网络。¦Security cameras have been installed in the city centre.::在市中心已安装了一些监控摄像机。	vt::安装；任命；安顿::fit, constitute, fix, place, name	adj::installing:: 安装的¦n::installation:: 安装，装置；就职¦n::installment:: 安装；分期付款；部分；就职¦n::instalment:: 分期付款；装设；就职¦n::installing:: 安装；插入；任命¦v::installing:: 安装；安置（install的ing形式）；正式任命¦vt::instal:: 安装；使就任；设置					
integration	'ɪntə'greʃən	ˌɪntɪ'greɪʃn	n:: 集成； 综合::the combining of two or more things so that they work together effectively	economic integration::经济一体化¦system integration::系统综合¦integration method::积分法¦integration system::积分系¦integration process::（纺织品与服装、农产品）一体化进程¦numerical integration::数值积分；积分计算¦vertical integration::垂直整合；垂直统一管理；纵向结合¦cultural integration::文化整合¦process integration::联合工艺¦social integration::社会整合；社会融合¦curriculum integration::课程整合¦integration testing::集成测试；整合测试；组装测试¦integration of world economy::世界经济一体化¦large scale integration::大规模集成¦integration time::n. 积分时间¦international integration::国际一体化¦integration test::综合测试¦horizontal integration::水平整合；横向结合¦integration by parts::部分积分法，分步积分法¦integration of enterprises::企业整合	problems of racial integration::种族融合的问题	n::集成；综合::synthesis, comprehensiveness	adj::integrate:: 整合的；完全的¦adj::integrated:: 综合的；完整的；互相协调的¦adj::integrative:: 综合的¦n::integrate:: 一体化；集成体¦n::integrator:: [自] 积分器；[电子] 积分电路；整合之人¦n::integrationist:: 主张取消种族隔离的人¦v::integrated:: 整合；使…成整体（integrate的过去分词）¦vi::integrate:: 求积分；取消隔离；成为一体¦vt::integrate:: 使…完整；使…成整体；求…的积分；表示…的总和		来自integrate(v. 使完整， 使成整体)			
indication	,ɪndɪ'keʃən	ˌɪndɪ'keɪʃn	n:: 指示； 迹象::a sign, remark, event etc that shows what is happening, what someone is thinking or feeling, or what is true	give clear indication of::注明¦visual indication::目测（指示）；可见指示¦fault indication::故障显示	Could you give me some indication as to when I am likely to receive a reply?::你能给我透露一下什么时候我能收到回复吗？¦Indications are that the situation hasn’t improved much.::迹象表明局势并没有多大好转。¦There is every indication (= there are very clear signs ) that it is true.::很明显这是真的。	n::指示，指出；迹象；象征::instruction, symbol, breath, pointing, evidence	adj::indicative:: 象征的；指示的；表示…的¦adj::indicant:: 指示的；表示的¦adj::indicatory:: 表示的；指示的¦n::indicator:: 指示器；[试剂] 指示剂；[计] 指示符；压力计¦n::indicative:: 陈述语气；陈述语气的动词形式¦n::indicant:: 指示物¦vt::indicate:: 表明；指出；预示；象征		来自indicate(v. 显示， 表明)			
foreseeable	fɔr'siəbl	fɔːr'siːəbl	adj:: 可预知的； 能预测的::foreseeable difficulties, events etc should be planned for because they are very likely to happen in the future		The judge found that it was not foreseeable that the fuel would catch fire.::法官裁定，燃料着火是无法预料的。¦foreseeable risk::可预料的风险	adj::可预知的；能预测的::calculable	adj::foresighted:: 深谋远虑的；有先见之明的；能预料的¦vt::foresee:: 预见；预知		 fore(预先) + see(看见) + able(有能力的) → 有能力预先看见的 → 可预知的			
microscopic	,maɪkrə'skɑpɪk	ˌmaɪkrə'skɑːpɪk	adj:: 极小的::extremely small and therefore very difficult to see	microscopic examination::显微镜检查；微观组织检查；金相试验¦microscopic observation::微观观察，显微观察¦microscopic analysis::显微镜分析；显微分析；微分析¦microscopic view::微观	a microscopic speck of dust::微小的尘粒¦Inspectors discovered microscopic cracks in the hull of the submarine.::检测人员发现潜艇的船身有细微的裂缝。		adj::microscopical:: 显微镜的¦adv::microscopically:: 用显微镜；通过显微镜¦n::microscope:: 显微镜¦n::microscopy:: 显微镜检查；显微镜使用；显微镜学¦n::microphotometer:: [光][摄] 显微光度计¦n::microscopist:: [光] 显微镜工作者；[光] 显微镜学家¦n::microsurgery:: [外科] 显微外科；显微手术		 micro(小) + scop(观察) + ic → 小得无法观察 → 极小的			
bulk	bʌlk	bʌlk	n:: 主体， 绝大部分::the main or largest part of something	the bulk of::大多数，大部¦in bulk::整批，散装；大批，大量¦bulk cargo::散装货¦bulk density::容积密度，体积密度；单位体积重量¦bulk cement::散装水泥¦dry bulk::干散货¦bulk material::疏松物质¦bulk polymerization::本体（整体）聚合¦bulk carrier::散装货船，散货船¦bulk production::批量生产¦bulk modulus::体积弹性模量¦bulk grain::散粮；散装谷物¦soil bulk density::土壤容重；土壤颗粒密度¦bulk commodity::大宗商品，散装货物¦bulk goods::散装货物¦bulk order::大宗订单¦bulk purchase::大量采购，成批采购¦bulk volume::总体积¦bulk up::胀大；形成大数目¦bulk cement truck::散装水泥卡车；散装水泥运输车	The bulk of consumers are based in towns.::大多数消费者都是城镇居民。	n::体积，容量；大多数，大部分；大块::most of, volume, content¦vt::使扩大，使形成大量；使显得重要::exaggerate, broaden	adj::bulky:: 体积大的；庞大的；笨重的		 公牛(bull)总是大批(bulk)地行动			
vaccination	,væksn'eʃən	ˌvæksɪ'neɪʃn	n:: 接种疫苗； 牛痘疤::		People should therefore continue to seek seasonal influenza vaccination like any other year.::因此，人们应当像以往一样继续接种季节性流感疫苗。¦There are some reasons why some people believe they have gotten influenza after vaccination.::有若干原因可说明为什么有些人认为他们在接种疫苗之后患上流感。		adj::vaccine:: 疫苗的；牛痘的¦n::vaccine:: 疫苗；牛痘苗¦n::vaccinate:: 被接种牛痘者¦n::vaccinator:: 牛痘接种员；种痘刀¦vi::vaccinate:: 接种疫苗¦vt::vaccinate:: 给…注射疫苗		 vaccin(牛痘) + ation → 接种牛痘 → 接种疫苗			
ceramic	sə'ræmɪk	sə'ræmɪk	adj:: 陶的， 制陶的::	ceramic tile::n. 瓷砖（有釉或无釉的）¦ceramic material::n. 陶瓷材料；陶瓷原料¦piezoelectric ceramic::压电陶瓷¦ceramic coating::陶瓷涂层¦ceramic membrane::陶瓷膜¦ceramic filter::陶瓷过滤器¦ceramic fiber::陶瓷纤维¦ceramic powder::陶瓷粉¦ceramic glaze::n. 釉¦ceramic product::陶瓷制品¦glass ceramic::玻璃陶瓷；陶瓷平台¦ceramic pigment::n. 陶瓷颜料¦ceramic substrate::陶瓷；陶瓷基片；陶瓷衬底¦ceramic plate::陶瓷板¦ceramic capacitor::[电]陶瓷电容器¦ceramic bearing::陶瓷轴承¦ceramic wall::n. 陶瓷砖墙¦ceramic mosaic::陶瓷马赛克；陶瓷锦砖¦ceramic metal::金属陶瓷¦ceramic fibre::陶瓷纤维；耐火陶瓷纤维	I make ceramic cups there. Do you remember the gift I gave you for your last birthday? Those two cups?::在那里，我可以自己制作陶瓷茶杯。还记得你上次生日时我送你的礼物吗？那两个茶杯？	adj::[陶瓷]陶瓷的；陶器的；制陶艺术的::keramic, vitrified¦n::[陶瓷]陶瓷；陶瓷制品::cer, pottery and porcelain	n::ceramist:: 陶艺家，陶瓷技师		来自ceram(n. 陶土)			
